"id" "date" "day" "id2" "usage"
"158" 158 2014-05-25 145 82 2.424914
"30" 30 2014-05-26 146 82 2.555003
"65" 65 2014-05-27 147 82 2.694471
"117" 117 2014-05-28 148 82 2.724308
"42" 42 2014-05-29 149 82 2.662742
"43" 43 2014-05-30 150 82 2.606404
"52" 52 2014-05-31 151 82 2.556141
"94" 94 2014-06-01 152 82 2.678802
"118" 118 2014-06-02 153 82 2.653943
"18" 18 2014-06-03 154 82 2.688246
"145" 145 2014-06-04 155 82 2.61409
"19" 19 2014-06-05 156 82 2.513422
"44" 44 2014-06-06 157 82 2.677233
"119" 119 2014-06-07 158 82 2.540439
"95" 95 2014-06-08 159 82 2.65294
"172" 172 2014-06-09 160 82 2.807637
"120" 120 2014-06-10 161 82 2.776139
"31" 31 2014-06-11 162 82 2.80113
"132" 132 2014-06-12 163 82 2.754683
"53" 53 2014-06-13 164 82 2.689653
"45" 45 2014-06-14 165 82 2.505574
"54" 54 2014-06-15 166 82 2.552484
"146" 146 2014-06-16 167 82 2.669196
"133" 133 2014-06-17 168 82 2.673009
"55" 55 2014-06-18 169 82 2.707636
"107" 107 2014-06-19 170 82 2.682855
"32" 32 2014-06-20 171 82 2.549853
"121" 121 2014-06-21 172 82 2.47133
"10" 10 2014-06-22 173 82 2.66273
"96" 96 2014-06-23 174 82 2.703598
"159" 159 2014-06-24 175 82 2.699153
"134" 134 2014-06-25 176 82 2.746072
"160" 160 2014-06-26 177 82 2.628453
"56" 56 2014-06-27 178 82 2.510794
"20" 20 2014-06-28 179 82 2.722382
"108" 108 2014-06-29 180 82 2.625318
"182" 182 2014-06-30 181 82 2.613879
"84" 84 2014-07-01 182 82 2.640927
